id,year,month,day,hr,min,sec,Lat,Lon,depth,Mw,time_date
1,2016,8,24,1,36,32,42.7063,13.2232,4.2,6.01,24/08/2016 01:36
2,2016,8,24,1,40,45,42.7928,13.1968,3.5,3.84,24/08/2016 01:40
3,2016,8,24,1,41,38,42.7807,13.1523,7.1,3.92,24/08/2016 01:41
4,2016,8,24,1,46,12,42.7613,13.1532,5.5,3.67,24/08/2016 01:46
5,2016,8,24,1,46,12,42.7613,13.1532,5.5,3.67,24/08/2016 01:46
6,2016,8,24,1,52,42,42.657,13.2327,10.8,3.12,24/08/2016 01:52
7,2016,8,24,1,56,0,42.6138,13.275,4.8,4.44,24/08/2016 01:56
8,2016,8,24,1,57,23,42.7173,13.229,10.8,3.39,24/08/2016 01:57
9,2016,8,24,2,1,8,42.7982,13.2553,8.5,3.9,24/08/2016 02:01
10,2016,8,24,2,5,55,42.6072,13.2762,10.3,3.9,24/08/2016 02:05
11,2016,8,24,2,7,30,42.6577,13.3182,9.6,3.83,24/08/2016 02:07
12,2016,8,24,2,9,56,42.7417,13.1987,8.6,3.58,24/08/2016 02:09
13,2016,8,24,2,10,56,42.7577,13.1877,10.7,3.8,24/08/2016 02:10
14,2016,8,24,2,12,12,42.8107,13.1587,10.2,3.46,24/08/2016 02:12
15,2016,8,24,2,13,57,42.773,13.1677,10.7,3.74,24/08/2016 02:13
16,2016,8,24,2,19,43,42.635,13.2317,10.1,3.76,24/08/2016 02:19
17,2016,8,24,2,28,57,42.6263,13.2787,10.5,3.16,24/08/2016 02:28
18,2016,8,24,2,30,49,42.8052,13.1162,3.8,3.37,24/08/2016 02:30
19,2016,8,24,2,32,29,42.8117,13.1602,8.5,5.06,24/08/2016 02:32
20,2016,8,24,2,33,29,42.7935,13.1537,8.7,5.39,24/08/2016 02:33
21,2016,8,24,2,48,52,42.7948,13.1598,6.8,3.02,24/08/2016 02:48
22,2016,8,24,2,51,26,42.7682,13.2217,6.2,3.65,24/08/2016 02:51
23,2016,8,24,2,54,14,42.7422,13.2033,9.5,3.13,24/08/2016 02:54
24,2016,8,24,2,54,14,42.739,13.1767,6,3.09,24/08/2016 02:54
25,2016,8,24,2,55,39,42.6512,13.279,1.2,3.54,24/08/2016 02:55
26,2016,8,24,2,59,35,42.7985,13.1425,9,4.05,24/08/2016 02:59
27,2016,8,24,3,1,43,42.7652,13.2233,6.6,3.12,24/08/2016 03:01
28,2016,8,24,3,8,10,42.6123,13.2713,15.4,3.95,24/08/2016 03:08
29,2016,8,24,3,9,14,42.6962,13.2322,9.6,3.72,24/08/2016 03:09
30,2016,8,24,3,11,47,42.6352,13.2488,10.1,3.37,24/08/2016 03:11
31,2016,8,24,3,13,10,42.6995,13.218,3.4,3.19,24/08/2016 03:13
32,2016,8,24,3,16,30,42.7255,13.1662,8.8,3.51,24/08/2016 03:16
33,2016,8,24,3,17,59,42.7617,13.1592,8.4,3.76,24/08/2016 03:17
34,2016,8,24,3,19,3,42.7862,13.21,5.7,3.69,24/08/2016 03:19
35,2016,8,24,3,22,38,42.7693,13.19,6.3,3.14,24/08/2016 03:22
36,2016,8,24,3,40,11,42.6168,13.2453,10.6,4.22,24/08/2016 03:40
37,2016,8,24,3,52,34,42.7113,13.2172,7.9,3.06,24/08/2016 03:52
38,2016,8,24,3,53,55,42.6647,13.2577,5.2,3.01,24/08/2016 03:53
39,2016,8,24,3,59,57,42.722,13.2188,9.9,3.49,24/08/2016 03:59
40,2016,8,24,4,0,50,42.738,13.2247,10.2,3.2,24/08/2016 04:00
41,2016,8,24,4,6,50,42.7692,13.1247,7.6,4.27,24/08/2016 04:06
42,2016,8,24,4,15,18,42.8183,13.1907,9.5,3.08,24/08/2016 04:15
43,2016,8,24,4,25,58,42.6413,13.2408,9.4,3.55,24/08/2016 04:25
44,2016,8,24,4,27,42,42.8192,13.1657,9,3.09,24/08/2016 04:27
45,2016,8,24,4,30,53,42.6402,13.2177,9.3,3.03,24/08/2016 04:30
46,2016,8,24,4,33,9,42.6283,13.2397,10.1,3.54,24/08/2016 04:33
47,2016,8,24,4,38,9,42.6395,13.211,7.1,3.53,24/08/2016 04:38
48,2016,8,24,4,38,9,42.6352,13.2247,9.9,3.48,24/08/2016 04:38
49,2016,8,24,4,44,38,42.7352,13.1847,9.7,3.72,24/08/2016 04:44
50,2016,8,24,4,52,45,42.7302,13.179,11.3,3.01,24/08/2016 04:52
51,2016,8,24,4,55,19,42.6008,13.2893,7,3.03,24/08/2016 04:55
52,2016,8,24,4,57,37,42.8388,13.0475,8.7,3.57,24/08/2016 04:57
53,2016,8,24,5,2,24,42.4597,13.2865,9.8,3.64,24/08/2016 05:02
54,2016,8,24,5,24,0,42.7563,13.2222,6.4,3.18,24/08/2016 05:24
